date,state,lat_1,u_1,lat_2,u_2,interjet_min
1979-05-01,double,24.5,33.0164794921875,66.5,16.07857504757968,7.358815930106423
1979-05-02,double,24.0,30.469087080522016,65.75,15.360743782737039,6.663918711922386
1979-05-03,single,27.5,33.38474412397905,,,
1979-05-04,single,28.5,33.39037010886452,,,
1979-05-05,single,28.25,28.98857896978205,,,
1979-05-06,single,42.75,33.06271310286088,,,
1979-05-07,single,39.75,28.553977792913262,,,
1979-05-08,single,36.5,28.873817790638316,,,
1979-05-09,double,32.75,27.454438122836027,61.25,19.300485784357246,13.999726642261852
1979-05-10,double,26.75,23.81735714999112,52.5,20.10596414045854,10.203468149358576
1979-05-11,double,26.25,25.79844838922674,55.5,19.741938677701082,11.634186571294611
1979-05-12,double,26.75,25.82461339777166,60.0,24.045265544544566,8.26828635822643
1979-05-13,double,20.5,25.313917636871338,63.0,26.688038565895774,2.0616276155818594
1979-05-14,double,20.5,26.719334840774536,58.75,31.121994365345348,-1.441867470741272
1979-05-15,double,24.75,25.79935056513006,55.0,33.37476487593217,-2.762497988614169
1979-05-16,double,25.25,25.037510438398883,55.5,25.9290828704834,-0.37008266896009445
1979-05-17,double,25.75,25.234554464166816,59.0,19.954213055697355,5.289659586819735
1979-05-18,double,26.75,25.525468652898613,57.0,23.977201461791992,7.873185157775879
1979-05-19,double,27.75,25.639096173373137,53.75,25.02705851468173,6.98050477287986
1979-05-20,double,22.25,25.03101192821156,60.25,24.664975253018465,11.865375605496494
1979-05-21,double,23.25,25.02229170365767,68.0,20.0904598236084,7.668173659931529
1979-05-22,double,23.25,23.794726285067473,45.75,20.35566451332786,12.829542073336514
1979-05-23,double,21.75,22.173661145296965,49.5,20.740659366954457,10.77024069699374
1979-05-24,double,24.0,23.4588623046875,45.25,22.736277840354226,10.292255054820668
1979-05-25,double,24.5,23.24270994013006,49.0,30.941418040882457,8.15207425030795
1979-05-26,double,28.75,23.5356221632524,50.75,30.68748612837358,5.127110394564542
1979-05-27,double,25.75,23.177373019131746,46.75,34.48846574263139,6.1340509761463515
1979-05-28,double,24.0,21.48785226995295,46.25,26.059568231756035,6.511146892200816
1979-05-29,double,25.75,20.512399673461914,60.5,19.487586628306996,8.718109520998867
1979-05-30,double,25.5,22.7367356040261,64.0,20.39003666964444,7.247805422002619
1979-05-31,double,25.5,26.210541811856356,66.25,27.752656589854848,-4.683924544941295
1979-06-01,double,24.5,23.813880053433504,40.5,21.518436085094105,16.03735533627597
1979-06-02,double,23.25,23.274364124644887,63.0,17.348132393576883,-1.24438983743841
1979-06-03,double,22.5,20.49096020785245,72.5,22.76420853354714,3.648783553730358
1979-06-04,double,23.0,20.3660888671875,74.75,22.228105545043945,0.5064473260532726
1979-06-05,double,22.25,19.811630595814098,49.25,15.24931170723655,9.287907687100498
1979-06-06,single,21.5,21.177293950861152,,,
1979-06-07,double,21.0,21.649681663513185,68.0,22.164235375144266,1.2910990931771018
1979-06-08,double,22.0,22.032473997636274,66.75,22.16785326871005,-1.7572435519912026
1979-06-09,double,22.5,20.432116768576883,65.75,20.661293723366477,6.345580924641002
1979-06-10,double,35.0,18.617365923794832,66.0,21.583878083662555,6.803001013669101
1979-06-11,double,30.0,18.644371899691496,67.5,24.756508567116477,7.188126000491056
1979-06-12,double,27.75,15.80337229642001,61.75,26.81538997996937,4.768672596324574
1979-06-13,double,29.5,15.015511512756348,62.25,24.54199825633656,3.529716144908558
1979-06-14,single,57.25,25.17094473405318,,,
1979-06-15,double,35.5,16.063023393804375,61.75,24.769827062433418,8.85059998252175
1979-06-16,single,62.0,29.4921875,,,
1979-06-17,double,23.5,15.217672434720127,64.0,23.096055117520418,7.584259640086781
1979-06-18,double,24.75,15.024983406066895,59.75,19.76375926624645,7.809701572765004
1979-06-19,double,24.25,16.431976491754707,53.0,22.345721504905008,5.77656381780451
1979-06-20,double,24.25,19.446894558993254,51.5,27.03212477944114,3.7263519763946533
1979-06-21,double,25.75,21.93415780500932,49.75,24.26408472928134,3.4364934401078657
1979-06-22,double,26.25,25.404529571533203,53.75,20.893110101873223,2.9930811795321377
1979-06-23,double,26.5,26.84046918695623,60.5,18.485903653231535,5.0531487031416455
1979-06-24,double,26.75,25.07472662492232,50.5,18.67925262451172,6.328317252072421
1979-06-25,double,27.0,24.195325331254438,50.75,24.641313206065785,3.3897259452126245
1979-06-26,double,28.0,24.668339816006746,52.25,27.6833232532848,2.883507165041837
1979-06-27,double,26.5,21.187716223976828,54.5,28.64000060341575,3.414364532990889
1979-06-28,double,32.0,22.260033347389914,55.25,30.425676519220527,2.0581551898609507
1979-06-29,double,32.0,22.008108139038086,54.75,29.445870659568094,2.751016768542203
1979-06-30,double,34.75,19.717767888849433,51.0,25.051805669611152,1.6785176613114097
1979-07-01,double,34.75,18.878577665849164,48.25,23.235835508866742,7.67513405192982
1979-07-02,double,32.75,20.692788557572797,49.25,22.681155464865945,8.458495356819846
1979-07-03,single,58.5,19.861649946732953,,,
1979-07-04,single,39.0,20.717131701382723,,,
1979-07-05,single,41.5,21.63847611167214,,,
1979-07-06,double,39.5,20.971368963068183,56.0,23.046645424582742,10.93740107796409
1979-07-07,double,34.5,18.010272112759676,53.25,22.260772358287465,10.16384202783758
1979-07-08,double,32.25,15.511261506514115,53.0,29.269126892089844,6.7327397953380235
1979-07-09,single,53.25,32.7714637409557,,,
1979-07-10,single,48.5,24.260276794433594,,,
1979-07-11,single,54.0,25.3174034465443,,,
1979-07-12,single,52.25,21.63450986688787,,,
1979-07-13,single,57.75,21.68691565773704,,,
1979-07-14,single,58.0,22.011857639659535,,,
