year,n_days,n_double,n_single,n_none,pct_double,n_double_runs,longest_double_run
1979,153,87,66,0,56.8627,16,28
1980,153,45,108,0,29.4118,18,12
1981,153,90,63,0,58.8235,19,24
1982,153,63,89,1,41.1765,13,16
1983,153,83,70,0,54.2484,26,14
1984,153,70,82,1,45.7516,16,20
1985,153,58,95,0,37.9085,18,7
1986,153,73,80,0,47.7124,19,16
1987,153,49,104,0,32.0261,22,6
1988,153,72,81,0,47.0588,15,17
1989,153,84,69,0,54.9020,19,19
1990,153,52,101,0,33.9869,20,12
1991,153,76,77,0,49.6732,15,15
1992,153,71,82,0,46.4052,18,21
1993,153,54,99,0,35.2941,20,12
1994,153,74,79,0,48.3660,14,22
1995,153,84,69,0,54.9020,18,11
1996,153,81,72,0,52.9412,20,13
1997,153,71,82,0,46.4052,23,9
1998,153,76,76,1,49.6732,17,12
1999,153,70,83,0,45.7516,21,18
2000,153,77,76,0,50.3268,21,13
2001,153,76,77,0,49.6732,17,30
2002,153,84,68,1,54.9020,22,11
2003,153,61,91,1,39.8693,17,16
2004,153,60,93,0,39.2157,16,13
2005,153,67,86,0,43.7908,21,9
2006,153,65,86,2,42.4837,20,17
2007,153,84,69,0,54.9020,18,17
2008,153,64,89,0,41.8301,16,12
2009,153,68,85,0,44.4444,15,16
2010,153,63,90,0,41.1765,19,13
2011,153,58,95,0,37.9085,14,33
2012,153,52,100,1,33.9869,22,7
2013,153,58,94,1,37.9085,18,18
2014,153,71,80,2,46.4052,21,10
2015,153,68,85,0,44.4444,12,40
2016,153,60,93,0,39.2157,21,8
2017,153,44,109,0,28.7582,20,4
2018,153,96,55,2,62.7451,15,26
2019,153,57,96,0,37.2549,23,11
2020,153,76,77,0,49.6732,19,11
2021,153,82,71,0,53.5948,20,9
2022,153,74,79,0,48.3660,24,9
2023,153,68,85,0,44.4444,17,30
2024,153,78,75,0,50.9804,15,18
2025,153,52,101,0,33.9869,16,17
